Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FITBI,Fifth Third Bancorp Depositary Shares,$25.735,0.095,0.371%,17256432134.00,United States,,4618,Finance,Major Banks
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,$23.245,-0.125,-0.535%,15586779287.00,United States,,2442,Finance,Major Banks
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,$25.28,0.48,1.935%,16951334927.00,United States,,283,Finance,Major Banks
FLEX,Flex Ltd. Ordinary Shares,$36.87,-0.77,-2.046%,14297575617.00,Singapore,1994,597784,Technology,Electrical Products
FOX,Fox Corporation Class B Common Stock,$44.02,-0.20,-0.452%,20105526644.00,United States,,367311,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$47.05,-0.43,-0.906%,21653700487.00,United States,,2160891,Industrials,Broadcasting
FSLR,First Solar Inc. Common Stock,$195.16,0.02,0.01%,20893386977.00,United States,2006,1804599,Technology,Semiconductors
FTAI,FTAI Aviation Ltd. Common Stock,$156.04,-1.61,-1.021%,16001851911.00,United States,,152870,Industrials,Misc Corporate Leasing Services
FTNT,Fortinet Inc. Common Stock,$93.40,-1.06,-1.122%,71586681993.00,United States,2009,1324579,Technology,Computer peripheral equipment
FUTU,Futu Holdings Limited American Depositary Shares,$88.475,-0.205,-0.231%,12191300439.00,Hong Kong,2019,542876,Finance,Investment Bankers/Brokers/Service
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$76.15,-1.09,-1.411%,18938972637.00,United States,,6653,Industrials,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$83.47,-1.03,-1.219%,20759501589.00,United States,,316499,Industrials,Broadcasting
GEHC,GE HealthCare Technologies Inc. Common Stock ,$81.99,-0.93,-1.122%,37459015548.00,United States,,967995,Health Care,Medical Electronics
GEN,Gen Digital Inc. Common Stock,$29.595,-0.445,-1.481%,18236586087.00,United States,,517980,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$40.98,-1.77,-4.14%,22684404826.00,United States,2021,238303,Technology,Semiconductors
GILD,Gilead Sciences Inc. Common Stock,$89.43,-2.68,-2.91%,111453555592.00,United States,1992,2836176,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPI,Gaming and Leisure Properties Inc. Common Stock,$49.04,0.32,0.657%,13456161759.00,United States,,148136,Real Estate,Real Estate Investment Trusts
GMAB,Genmab A/S ADS,$20.54,-0.64,-3.022%,13571709489.00,Denmark,2019,288153,Health Care,Biotechnology: Pharmaceutical Preparations
GOOG,Alphabet Inc. Class C Capital Stock,$173.45,-3.90,-2.199%,2123201450000.00,United States,2004,5640306,Technology,Computer Software: Programming Data Processing
